D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
300.0,4.520292859259384e7,6.0865261277341135e7,4.2148236301452065e9,1.4690215625850655e10,1.518780628010389e10,1.9039625846731e10,1.5343897751148232e10,0.1,9.60303974825429e-9,0.3001580039977265,1.111486624786337e20,3.943703364282277e18,9.795576387368924e10,0.03548133892335755
300.0,4.520443324794917e7,6.0865261277341135e7,1.6770577589953289e10,1.4690190995158237e10,1.518780628010389e10,3.1599195452334633e10,1.5343897751148232e10,0.2,3.841215899301716e-8,0.3001580039977265,1.111486624786337e20,3.943703364282277e18,9.795576387368924e10,0.03548133892335755
50.0,1.2720209334067931e7,2.176172791515999e7,1.3226164300559022e7,1.9352062558488297e9,2.079411171550757e9,1.9700019140746174e9,2.1117913365529635e9,0.01,1.368725274879336e-10,0.3081690290810636,8.824541634892494e19,3.513113301698584e18,9.572601846452765e10,0.039810717055349734
50.0,1.2720617204679148e7,2.176172791515999e7,1.282164805522092e9,1.9351987849737384e9,2.079411171550757e9,3.2395867648340964e9,2.1117913365529635e9,0.1,1.3687252748793363e-8,0.3081690290810636,8.824541634892494e19,3.513113301698584e18,9.572601846452765e10,0.039810717055349734
50.0,1.2721833303164171e7,2.176172791515999e7,4.949827856967998e9,1.9351727713468895e9,2.079411171550757e9,6.908969107509213e9,2.1117913365529635e9,0.2,5.474901099517345e-8,0.3081690290810636,8.824541634892494e19,3.513113301698584e18,9.572601846452765e10,0.039810717055349734
300.0,NaN,7.666225109216174e7,NaN,NaN,1.7049322462572618e10,NaN,1.723287191408954e10,0.01,1.368725274879336e-10,0.3081690290810636,8.824541634892494e19,3.513113301698584e18,9.572601846452765e10,0.039810717055349734
300.0,5.6710803175481565e7,7.666225109216174e7,5.976610949880443e9,1.6463743192577662e10,1.7049322462572618e10,2.259754250756277e10,1.723287191408954e10,0.1,1.3687252748793363e-8,0.3081690290810636,8.824541634892494e19,3.513113301698584e18,9.572601846452765e10,0.039810717055349734
300.0,5.6713169997110054e7,7.666225109216174e7,2.3764079597520573e10,1.6463706841760366e10,1.7049322462572618e10,4.0390381842775566e10,1.723287191408954e10,0.2,5.474901099517345e-8,0.3081690290810636,8.824541634892494e19,3.513113301698584e18,9.572601846452765e10,0.039810717055349734
50.0,1.602067045280135e7,2.7816499104685396e7,1.8788397296876416e7,2.1983349964722867e9,2.3689149071798e9,2.2431982239349923e9,2.408831098317338e9,0.01,1.9530873711872372e-10,0.3160883527185707,6.903718087503687e19,3.0837775945237233e18,9.354702825743962e10,0.0446683592150963
50.0,1.6021315270094747e7,2.7816499104685396e7,1.8138060483859258e9,2.19832402274067e9,2.3689149071798e9,4.0391220252217803e9,2.408831098317338e9,0.1,1.9530873711872377e-8,0.3160883527185707,6.903718087503687e19,3.0837775945237233e18,9.354702825743962e10,0.0446683592150963
50.0,1.6023422110433165e7,2.7816499104685396e7,6.971589223610317e9,2.1982817653995132e9,2.3689149071798e9,9.199271333484663e9,2.408831098317338e9,0.2,7.812349484748951e-8,0.3160883527185707,6.903718087503687e19,3.0837775945237233e18,9.354702825743962e10,0.0446683592150963
300.0,NaN,9.799200969020186e7,NaN,NaN,1.9422995973960297e10,NaN,1.9642742951109634e10,0.01,1.9530873711872372e-10,0.3160883527185707,6.903718087503687e19,3.0837775945237233e18,9.354702825743962e10,0.0446683592150963
300.0,7.220220816306044e7,9.799200969020186e7,8.4854117530373535e9,1.872468326247948e10,1.9422995973960297e10,2.739700253487755e10,1.9642742951109634e10,0.1,1.9530873711872377e-8,0.3160883527185707,6.903718087503687e19,3.0837775945237233e18,9.354702825743962e10,0.0446683592150963
300.0,7.220602667757292e7,9.799200969020186e7,3.371279042936608e10,1.8724627920051052e10,1.9422995973960297e10,5.263194672236726e10,1.9642742951109634e10,0.2,7.812349484748951e-8,0.3160883527185707,6.903718087503687e19,3.0837775945237233e18,9.354702825743962e10,0.0446683592150963
50.0,2.0512905938660342e7,3.615451889518932e7,2.672842178785203e7,2.539293963621218e9,2.7441608779656796e9,2.5981542731567774e9,2.794335518803224e9,0.01,2.7905598482969377e-10,0.3239170246080182,5.311570027617303e19,2.6620910883590497e18,9.141763792297502e10,0.05011872336272722
50.0,2.051395327037212e7,3.615451889518932e7,2.568068762503969e9,2.5392773062286663e9,2.7441608779656796e9,5.140764635451067e9,2.794335518803224e9,0.1,2.790559848296938e-8,0.3239170246080182,5.311570027617303e19,2.6620910883590497e18,9.141763792297502e10,0.05011872336272722
50.0,2.0517731676404115e7,3.615451889518932e7,9.821841075166708e9,2.5392062195162907e9,2.7441608779656796e9,1.2397779873845041e10,2.794335518803224e9,0.2,1.1162239393187753e-7,0.3239170246080182,5.311570027617303e19,2.6620910883590497e18,9.141763792297502e10,0.05011872336272722
300.0,NaN,1.2736520106342936e8,NaN,NaN,2.24996798538813e10,NaN,2.2768068987879787e10,0.01,2.7905598482969377e-10,0.3239170246080182,5.311570027617303e19,2.6620910883590497e18,9.141763792297502e10,0.05011872336272722
300.0,9.346556238330103e7,1.2736520106342936e8,1.2064106267055449e10,2.165411555194363e10,2.24996798538813e10,3.394493054260254e10,2.2768068987879787e10,0.1,2.790559848296938e-8,0.3239170246080182,5.311570027617303e19,2.6620910883590497e18,9.141763792297502e10,0.05011872336272722
300.0,9.3471903784373e7,1.2736520106342936e8,4.788778415516194e10,2.1654028453994236e10,2.24996798538813e10,6.97792741420347e10,2.2768068987879787e10,0.2,1.1162239393187753e-7,0.3239170246080182,5.311570027617303e19,2.6620910883590497e18,9.141763792297502e10,0.05011872336272722
50.0,2.676061424578059e7,4.789084144960474e7,3.808522776368487e7,2.989267960688586e9,3.239660016358673e9,3.0678022422545776e9,3.304107539813869e9,0.01,3.9930197909467867e-10,0.33165608243138545,4.009894980912382e19,2.2549296574403986e18,8.933671843019261e10,0.05623413251903491
50.0,2.6762368465724524e7,4.789084144960474e7,3.639284097699393e9,2.989241760190273e9,3.239660016358673e9,6.670779686735891e9,3.304107539813869e9,0.1,3.9930197909467866e-8,0.33165608243138545,4.009894980912382e19,2.2549296574403986e18,8.933671843019261e10,0.05623413251903491
50.0,2.6769429706911553e7,4.789084144960474e7,1.3829203152437696e10,2.989117297078124e9,3.239660016358673e9,1.6865103770222605e10,3.304107539813869e9,0.2,1.5972079163787146e-7,0.33165608243138545,4.009894980912382e19,2.2549296574403986e18,8.933671843019261e10,0.05623413251903491
300.0,NaN,1.6870994094992107e8,NaN,NaN,2.6562333353159897e10,NaN,2.6897507983965126e10,0.01,3.9930197909467867e-10,0.33165608243138545,4.009894980912382e19,2.2549296574403986e18,8.933671843019261e10,0.05623413251903491
300.0,1.2328991138919953e8,1.6870994094992107e8,1.7178747143927542e10,2.552030090688332e10,2.6562333353159897e10,4.2980167511176956e10,2.6897507983965126e10,0.1,3.9930197909467866e-8,0.33165608243138545,4.009894980912382e19,2.2549296574403986e18,8.933671843019261e10,0.05623413251903491
300.0,1.2330079088431206e8,1.6870994094992107e8,6.8119811620604645e10,2.552015893694675e10,2.6562333353159897e10,9.393627970740578e10,2.6897507983965126e10,0.2,1.5972079163787146e-7,0.33165608243138545,4.009894980912382e19,2.2549296574403986e18,8.933671843019261e10,0.05623413251903491
50.0,3.566135477497849e7,6.481817593850094e7,5.43652514680375e7,3.595634788418998e9,3.9079027905023656e9,3.7021439874244103e9,3.992699577311293e9,0.01,5.723208439630442e-10,0.339306551992404,2.9627063535199445e19,1.869341333291541e18,8.730316644803319e10,0.06309573444801933
50.0,3.5664394212223366e7,6.481817593850094e7,5.162465750367631e9,3.59559200374132e9,3.9079027905023656e9,8.81273237799887e9,3.992699577311293e9,0.1,5.723208439630443e-8,0.339306551992404,2.9627063535199445e19,1.869341333291541e18,8.730316644803319e10,0.06309573444801933
50.0,3.567814229894835e7,6.481817593850094e7,1.9428122103708218e10,3.5953655848467956e9,3.9079027905023656e9,2.308426421527402e10,3.992699577311293e9,0.2,2.289283375852177e-7,0.339306551992404,2.9627063535199445e19,1.869341333291541e18,8.730316644803319e10,0.06309573444801933
300.0,NaN,2.2834159093027896e8,NaN,NaN,3.204133229187675e10,NaN,3.24704437290956e10,0.01,5.723208439630442e-10,0.339306551992404,2.9627063535199445e19,1.869341333291541e18,8.730316644803319e10,0.06309573444801933
